ratings,author,title,kindleprice,reviews,digitalprice,listprice
4.7 out of 5 stars,CharlesKrauthammer,"Things That Matter: Three Decades of Passions, Pastimes and Politics ",Rs.656.90,3221,$27.81,$28.00
4.8 out of 5 stars,JJSmith,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days! ,Rs.626.00,1112,,$16.99
4.6 out of 5 stars,JessicaOrtner,"The Tapping Solution for Weight Loss & Body Confidence: A Woman's Guide to Stressing Less, Weighing Less, and Loving More ",Rs.407.85,78,$24.95,$24.95
4.0 out of 5 stars,,Pursuit And Persuasion (Ben Reese mystery series) ,Rs.164.11,68,,
4.4 out of 5 stars,MitchellZuckoff,Frozen in Time: An Epic Story of Survival and a Modern Quest for Lost Heroes of World War II (P.S.) ,Rs.328.19,552,$12.99,$15.99
4.6 out of 5 stars,SusanDworkin,The Nazi Officer's Wife: How One Jewish Woman Survived The Holocaust ,Rs.118.85,1545,$1.98,$15.99
4.2 out of 5 stars,A.G.Riddle,"The Atlantis Gene: A Thriller (The Origin Mystery, Book 1) ",Rs.99.00,7350,,$15.99
4.8 out of 5 stars,ReginaCalcaterra,Etched in Sand ,Rs.59.17,741,$12.90,$15.99
4.4 out of 5 stars,ScottMeyer,"Off to Be the Wizard (Magic 2.0, Book 1) ",Rs.238.49,355,,$14.95
4.5 out of 5 stars,SamSisavath,The Purge of Babylon: A Novel of Survival (#1) ,Rs.186.00,416,,$13.99
4.5 out of 5 stars,J.B.West,Upstairs at the White House: My Life with the First Ladies ,Rs.118.95,,$5.91,
4.3 out of 5 stars,LJCohen,Derelict ,Rs.293.00,25,,$11.99
4.5 out of 5 stars,EricFlintCharlesE.Gannon,1636: Commander Cantrell in the West Indies (Ring of Fire) ,Rs.587.00,44,,$25.00
4.8 out of 5 stars,RykBrown,"Ep.#11 - ""Born of the Ashes"" (The Frontiers Saga) ",Rs.176.00,355,,$15.07
4.5 out of 5 stars,HughHowey,Shift Omnibus Edition (Shift 1-3) (Silo Saga Book 2) ,Rs.234.50,1370,$6.63,$20.99
4.7 out of 5 stars,HughHowey,Dust (Silo Saga Book 3) ,Rs.293.50,2043,$6.63,$17.95
4.3 out of 5 stars,MarkoKloos,Terms of Enlistment (Frontlines) ,Rs.236.73,1253,,$14.95
4.5 out of 5 stars,RyanWinfield,The Park Service: Book One of The Park Service Trilogy ,Rs.174.30,,$4.12,$14.99
