ratings,author,title,kindleprice,reviews,digitalprice,listprice
4.8 out of 5 stars,JodiMcIsaac,"Among the Unseen (The Thin Veil, Book 3) ",Rs.296.06,78,,$14.95
4.5 out of 5 stars,RobertJ.Crane,"The Girl in the Box Series, Books 1-3: Alone, Untouched and Soulless ",Rs.61.00,446,,
3.4 out of 5 stars,AniaAhlborn,The Neighbors ,Rs.240.15,813,,$14.95
3.5 out of 5 stars,KristenBritain,Mirror Sight: Book Five of Green Rider ,Rs.711.38,217,$27.55,$27.95
4.7 out of 5 stars,ShannonMayer,Blind Salvage: Book 5 (A Rylee Adamson Novel) ,Rs.248.00,420,,$10.49
4.6 out of 5 stars,ShannonMayer,Raising Innocence: Book 3 (A Rylee Adamson Novel) ,Rs.248.00,345,,$10.49
4.9 out of 5 stars,EveLanglais,Hell's Kitty (Welcome To Hell Book 4) ,Rs.233.00,26,,$9.99
4.8 out of 5 stars,ShannonMayer,Shadowed Threads: Book 4 (A Rylee Adamson Novel) ,Rs.248.00,422,,$10.49
4.6 out of 5 stars,K.F.Breene,Braving the Elements (Darkness #2) ,Rs.179.64,240,$3.04,$7.95
4.5 out of 5 stars,AileenErin,Becoming Alpha (Alpha Girl Book 1) ,Rs.238.49,121,,$12.99
4.3 out of 5 stars,RickGualtieri,Goddamned Freaky Monsters (The Tome of Bill Book 5) ,Rs.236.00,17,,
4.4 out of 5 stars,NiallTeasdale,Ugly (Ultrahuman Book 1) ,Rs.177.00,12,,
4.6 out of 5 stars,K.F.Breene,On a Razor's Edge (Darkness #3) ,Rs.180.00,94,,
4.3 out of 5 stars,AileenErin,Avoiding Alpha (Alpha Girl Book 2) ,Rs.178.72,44,,
4.4 out of 5 stars,SusanIllene,Darkness Haunts: Book 1 (Sensor Series) ,Rs.240.00,74,,$14.99
4.2 out of 5 stars,VictorGischler,Ink Mage ,Rs.238.49,246,,$14.95
4.7 out of 5 stars,SamSisavath,The Stones of Angkor (Purge of Babylon #3) ,Rs.240.00,179,,$13.99
4.6 out of 5 stars,MarieHall,Kingdom Collection: Books 1-3 (Kingdom Series ) ,Rs.167.22,209,$2.99,$11.30
4.1 out of 5 stars,BlakeCrouch,"Pines (The Wayward Pines Series, Book One) ",Rs.296.06,1715,,$14.95
4.5 out of 5 stars,RobertR.McCammon,Speaks the Nightbird: A Novel ,Rs.249.20,187,$5.91,$18.00
4.1 out of 5 stars,J.ThornScottNicholsonGlynnJamesJ.R.RainEdwardW.RobertsonJacquelineDrugaT.W.BrownRachelHigginson,This is the End 2: The Post-Apocalyptic Box Set (9 Book Collection) ,Rs.60.00,15,,
4.8 out of 5 stars,SusanIllene,Darkness Divides: Book 3 (Sensor Series) ,Rs.241.00,28,,
4.4 out of 5 stars,NeilGaiman,Neverwhere ,Rs.191.00,1129,$7.99,$7.99
4.2 out of 5 stars,H.P.Mallory,To Kill A Warlock (Dulcie O'Neil Book 1) ,Rs.169.00,465,,$11.99
4.5 out of 5 stars,JeffWheeler,Dryad-Born (Whispers from Mirrowen) ,Rs.296.06,,,$14.95
4.2 out of 5 stars,AidenJames,The Judas Chronicles: The First Three Books ,Rs.399.00,48,,
4.6 out of 5 stars,MagenMcMinimy,Immortal Blood (Immortal Heart Book 1) ,Rs.62.00,103,,$14.99
3.9 out of 5 stars,AdrianneBrooks,The Dragon King and I (Fairest Of Them All Book 1) ,Rs.179.00,85,,$10.93
4.6 out of 5 stars,JeffWheeler,The Scourge of Muirwood (Legends of Muirwood: Book 3) ,Rs.238.49,633,,$14.95
4.1 out of 5 stars,MitchellHogan,Blood of Innocents (Book Two of the Sorcery Ascendant Sequence) ,Rs.399.00,22,,$23.99
4.7 out of 5 stars,,A Crown of War (Whill of Agora Book #4) (Legends of Agora) ,Rs.300.00,9,,
4.3 out of 5 stars,N.E.Conneely,Witch for Hire (A Witch's Path Book 1) ,Rs.180.00,233,,
4.9 out of 5 stars,,Monster Hunter Nemesis (Monster Hunters International Book 5) ,Rs.591.00,20,,$25.00
4.6 out of 5 stars,BellaForrest,A Shade of Vampire 6: A Gate of Night ,Rs.199.00,486,,$12.99
4.6 out of 5 stars,ScottMeyer,"Spell or High Water (Magic 2.0, Book 2) ",Rs.298.26,16,,$14.95
4.5 out of 5 stars,SamSisavath,The Purge of Babylon: A Novel of Survival (#1) ,Rs.186.00,416,,$13.99
4.7 out of 5 stars,ElizabethHunter,The Singer: Irin Chronicles Book Two (The Irin Chronicles 2) ,Rs.301.00,125,,$12.99
4.8 out of 5 stars,ShannonMayer,Tracker: Book 6 (A Rylee Adamson Novel) ,Rs.247.00,372,,$10.49
4.5 out of 5 stars,DrewHayes,NPCs ,Rs.240.00,59,,$14.00
4.7 out of 5 stars,BellaForrest,A Shade of Vampire 5: A Blaze of Sun ,Rs.99.00,462,,$12.99
4.5 out of 5 stars,ShannonMayer,Immune: Book 2 (A Rylee Adamson Novel) ,Rs.248.00,391,,$10.49
4.6 out of 5 stars,JeffWheeler,The Blight of Muirwood (Legends of Muirwood: Book 2) ,Rs.238.49,657,,$14.95
4.1 out of 5 stars,J.ThornL.T.RyanStephenKnightGlynnJamesT.W.PiperbrookJoeMcKinneyCraigDiLouieBobbyAdair,This is the End: The Post-Apocalyptic Box Set (7 Book Collection) ,Rs.62.00,110,,
4.7 out of 5 stars,WillWight,The Crimson Vault (The Traveler's Gate Trilogy Book 2) ,Rs.185.00,231,,$13.99
4.4 out of 5 stars,ShannonMayer,Priceless: Book 1 (A Rylee Adamson Novel) ,Rs.180.00,992,,$10.49
4.3 out of 5 stars,EmmaStorm,Desired by the Pack: Part Two: a BBW Paranormal Romance (Peace River Guardians Book 2) ,Rs.179.00,33,,
4.3 out of 5 stars,R.D.Brady,The Belial Stone (The Belial Series 1) ,Rs.245.00,437,,$14.99
4.6 out of 5 stars,BiancaD'Arc,Bobcat: Tales of the Were (Redstone Clan Book 4) ,Rs.241.00,19,,$11.99
4.4 out of 5 stars,SteveMcHugh,With Silent Screams (The Hellequin Chronicles) ,Rs.296.06,158,,$14.95
4.0 out of 5 stars,MercedesLackey,Blood Red (Elemental Masters) ,Rs.652.05,31,$25.58,$25.95
4.1 out of 5 stars,MorganRice,A Rule of Queens (Book #13 in the Sorcerer's Ring) ,Rs.234.11,132,$4.97,$15.99
4.1 out of 5 stars,LalinePaull,The Bees: A Novel ,Rs.387.92,59,$14.99,$25.99
4.5 out of 5 stars,AlexandraIvy,Hunt the Darkness (Guardians of Eternity) ,Rs.288.34,61,$6.89,$7.99
4.7 out of 5 stars,BellaForrest,A Shade of Vampire 3: A Castle of Sand ,Rs.99.00,509,,$12.99
4.8 out of 5 stars,KimHarrison,The Undead Pool (Hollows) ,Rs.530.98,767,$17.99,$27.99
4.4 out of 5 stars,,Schooled in Magic (Schooled in Magic series Book 1) ,Rs.248.00,91,,
4.6 out of 5 stars,HeleneWecker,The Golem and the Jinni (P.S.) ,Rs.294.00,1314,$12.90,$15.99
4.5 out of 5 stars,J.R.Rain,Vampire Sun (Vampire for Hire Book 9) ,Rs.239.00,123,,$15.00
4.0 out of 5 stars,MorganRice,An Oath of Brothers (Book #14 in the Sorcerer's Ring) ,Rs.299.00,47,,$16.99
4.4 out of 5 stars,EvaGarcíaSáenz,The Immortal Collection (A Saga of the Ancient Family) ,Rs.298.26,182,,$14.95
4.1 out of 5 stars,PeterDavid,Artful: A Novel ,$4.92,126,,
4.7 out of 5 stars,WillWight,City of Light (The Traveler's Gate Trilogy: Book #3) ,Rs.180.00,131,,
4.6 out of 5 stars,MimiJeanPamfiloff,KING FOR A DAY (The King Trilogy Book 2) ,Rs.244.00,150,,$11.00
4.5 out of 5 stars,JeffWheeler,The Wretched of Muirwood (Legends of Muirwood: Book 1) ,Rs.238.49,1238,,$14.95
4.4 out of 5 stars,PatrickRothfuss,The Wise Man's Fear: The Kingkiller Chronicle: Day Two ,Rs.295.46,2049,$9.92,$9.99
4.4 out of 5 stars,WillWight,House of Blades (The Traveler's Gate Trilogy Book 1) ,Rs.189.00,491,,$11.99
4.6 out of 5 stars,BellaForrest,A Shade of Vampire 2: A Shade of Blood ,Rs.218.00,921,,$13.99
4.3 out of 5 stars,BellaForrest,A Shade of Vampire ,Rs.58.00,2663,,$8.99
4.5 out of 5 stars,MimiJeanPamfiloff,KING'S (The King Trilogy Book 1) ,Rs.60.00,225,,$10.88
4.6 out of 5 stars,L.E.ModesittJr.,Cyador's Heirs (Saga of Recluce) ,Rs.781.84,65,$28.99,$27.99
4.3 out of 5 stars,J.D.Horn,"The Line (Witching Savannah, Book 1) ",Rs.298.26,2141,,$14.95
4.5 out of 5 stars,PatrickRothfuss,The Name of the Wind: The Kingkiller Chronicle: Day One ,Rs.265.89,2761,$8.93,$8.99
4.6 out of 5 stars,J.D.Horn,"The Source (Witching Savannah, Book 2) ",Rs.296.06,170,,$14.95
4.4 out of 5 stars,ScottMeyer,"Off to Be the Wizard (Magic 2.0, Book 1) ",Rs.238.49,355,,$14.95
4.7 out of 5 stars,ShannonMayer,Veiled Threat: Book 7 (A Rylee Adamson Novel) ,Rs.241.00,178,,$10.49
4.6 out of 5 stars,,Lessons in Etiquette (Schooled in Magic series Book 2) ,Rs.240.00,30,,
4.4 out of 5 stars,JohnleCarré,The Spy Who Came in from the Cold (Penguin Modern Classics) ,Rs.299.50,296,,$15.00
4.5 out of 5 stars,LawrenceN.Powell,The Accidental City: Improvising New Orleans ,Rs.691.55,30,$19.95,$19.95
4.8 out of 5 stars,,The New War on Israel: And How to Fight Back ,Rs.309.00,6,,
4.4 out of 5 stars,MaxI.Dimont,"Jews, God, and History (50th Anniversary Edition) ",Rs.214.70,99,$8.95,$8.95
3.8 out of 5 stars,FelipeFernandez-Armesto,1492: The Year the World Began ,Rs.541.50,47,$12.90,$14.99
3.5 out of 5 stars,,The History of the Kings of Britain [Illustrated] ,Rs.55.09,28,,
4.2 out of 5 stars,TheodoreAyraultDodge,"Gustavus Adolphus: A History of the Art of War from Its Revival After the Middle Ages to the End of the Spanish Succession War, With a Detailed Account of the Campaigns of the Great Swede ",Rs.166.38,,,
4.7 out of 5 stars,RichardRashke,Escape from Sobibor: Revised and Updated Edition ,Rs.249.20,,$5.91,$19.99
4.1 out of 5 stars,AndrewMarr,A History of the World ,Rs.209.30,17,$4.97,
4.1 out of 5 stars,HughAldersey-Williams,"Periodic Tales: A Cultural History of the Elements, from Arsenic to Zinc ",Rs.299.68,49,$9.99,$14.99
4.3 out of 5 stars,RichardJ.Evans,The Coming of the Third Reich ,Rs.370.50,129,$20.00,$20.00
3.9 out of 5 stars,PatrickJ.Buchanan,"Churchill, Hitler, and ""The Unnecessary War"": How Britain Lost Its Empire and the West Lost the World ",Rs.716.67,249,$19.86,$20.00
4.4 out of 5 stars,CliveJames,Cultural Amnesia: Notes in the Margin of My Time ,Rs.209.30,19,$7.48,
4.5 out of 5 stars,PeterLongerich,Heinrich Himmler: A Life ,Rs.250.11,45,$8.31,$29.95
4.3 out of 5 stars,,Britain Begins ,Rs.597.13,,$11.09,$29.95
4.0 out of 5 stars,CheriSchmidt,Fateful (Book #1 in the Fateful Series) ,Rs.180.00,140,,$11.99
3.7 out of 5 stars,KellyMcClymer,The Fairy Tale Bride (Once Upon a Wedding Book 1) ,Rs.0.00,,$2.73,
4.3 out of 5 stars,QuinnLoftis,Prince of Wolves (The Grey Wolves Series Book 1) ,Rs.0.00,1156,$0.90,$12.99
4.6 out of 5 stars,HelenHarper,Bloodrage (Blood Destiny) ,Rs.274.00,94,,$11.99
4.2 out of 5 stars,KamerySolomon,Zeus (The God Chronicles Book 1) ,Rs.59.00,60,,$11.99
4.7 out of 5 stars,VictoriaDanann,A Summoner's Tale (Knights of Black Swan Book 3) ,Rs.125.00,225,,$10.02
4.0 out of 5 stars,,Celtic Fairy Tales ,Rs.55.09,49,,$4.99
4.3 out of 5 stars,JeremyLaszlo,The Contention (Blood and Brotherhood Saga Book Four) ,Rs.333.00,15,,$10.99
4.8 out of 5 stars,,Beowulf: The New Translation ,Rs.60.00,4,,$5.99
4.3 out of 5 stars,AntoineLaurain,The President’s Hat ,Rs.282.00,30,,$14.95
4.6 out of 5 stars,,Shadow Blood: Book 4 of The Witch Fairy Series ,Rs.246.00,63,,$11.99
4.9 out of 5 stars,L.P.Dover,Reign of Ice (Forever Fae series Book 4) ,Rs.245.00,61,,$14.99
4.2 out of 5 stars,DylanLeePeters,Everflame: The Complete Series ,Rs.399.00,707,,$11.99
4.8 out of 5 stars,MirandaStorkTrishMarieDawsonLindsayAvalon,Once Upon A Twisted Time ,Rs.300.00,12,,$11.50
4.6 out of 5 stars,,Blood of Dragons: Book 7 of The Witch Fairy Series ,Rs.219.00,59,,$12.99
4.8 out of 5 stars,EdnahWalters,Grimnirs: Clean Version (Book 2.5) ,Rs.240.00,98,,$10.98
4.4 out of 5 stars,AmandaR.Browning,Birth of the Nyxian (The Immortal Choice Series) ,Rs.218.99,67,,$9.99
4.3 out of 5 stars,LucasHosby,A Little Mouse's Journey: A Little Story ,Rs.0.00,22,$0.83,
4.2 out of 5 stars,,The Anunnaki (The Chronicles of the Guardians) ,Rs.54.00,122,,$19.95
4.8 out of 5 stars,LaniWendtYoung,The Bone Bearer (The Telesa Series) ,Rs.248.00,110,,$13.95
5.0 out of 5 stars,JenniferL.Hart,The Misadventures of the Laundry Hag: All Washed Up: (Book 3 in the Misadventures of the Laundry Hag series) ,Rs.186.00,16,,
4.8 out of 5 stars,LauraHoward,Stone of Destiny: Book 2 (The Danaan Trilogy) ,Rs.180.00,34,,$7.99
3.4 out of 5 stars,,The Oath of The Vayuputras (Shiva Trilogy) ,Rs.113.00,142,$5.90,
5.0 out of 5 stars,CatherineStovallShebatLegionZoeAdamsLexiOstrowLillieJ.RobertsK.R.WilburnMarianaThorn,Tales of the Fairy Anthology ,Rs.59.00,1,,
4.2 out of 5 stars,ArialBurnz,Midnight Conquest (Bonded By Blood Vampire Chronicles Book 1) ,Rs.59.00,75,,$17.99
4.5 out of 5 stars,JohnLindow,"Norse Mythology: A Guide to Gods, Heroes, Rituals, and Beliefs ",Rs.447.76,28,,$24.95
3.5 out of 5 stars,AnandNeelakantan,ASURA: Tale Of The Vanquished ,Rs.73.00,55,$2.48,$20.00
4.3 out of 5 stars,BrianBraden,"Black Sea Gods: Chronicle of Fu Xi, Book I ",Rs.176.00,34,,$15.99
5.0 out of 5 stars,KristinaWright,A Princess Bound: Naughty Fairy Tales for Women ,Rs.597.13,3,$11.96,$15.95
3.9 out of 5 stars,TeresaMorgan,Cinderella and the Sheikh (Hot Contemporary Romance) ,Rs.205.33,27,$4.14,$9.97
3.0 out of 5 stars,,Dracula (Annotated) ,Rs.49.00,2,,
4.5 out of 5 stars,NnediOkorafor,Who Fears Death ,Rs.345.80,71,$7.93,$7.99
4.7 out of 5 stars,S.T.Bende,Elsker - The Elsker Saga ,Rs.177.00,64,,$9.99
4.6 out of 5 stars,DorienKelly,The Brightest Flame in Ballymuir (Ballymuir Series) ,Rs.222.02,76,,$11.99
4.0 out of 5 stars,DanaMichelleBurnett,"Gypsy Fairy Tale Series Box Set (Once, Far Away, and Ever After) ",Rs.61.09,2,$1.04,
4.1 out of 5 stars,StephenR.Lawhead,Taliesin (Pendragon Cycle) ,Rs.318.25,158,$7.93,$7.99
4.0 out of 5 stars,NicoleDreadful,Beauty and the Beast (Adult Fairy Tales) ,Rs.122.80,21,$2.06,
4.6 out of 5 stars,MarieHall,Red and Her Wolf (Kingdom Series  Book 3) ,Rs.99.00,71,,
5.0 out of 5 stars,AmyLeighStrickland,Olympia Heights: The Cult of Kronos ,Rs.310.00,3,,$12.99
4.3 out of 5 stars,,"The Arabian Nights: Tales of 1,001 Nights: Volume 1 (Penguin Classics) ",Rs.449.50,21,,$20.00
5.0 out of 5 stars,,Cry Wolf: A New Gotham Fairy Tale ,Rs.60.00,2,,
4.8 out of 5 stars,SueHarrison,"Cry of the Wind (The Storyteller Trilogy, 2) ",Rs.371.06,6,$8.01,
4.6 out of 5 stars,KevinHearne,Hunted (Iron Druid Chronicles Book 19) ,Rs.279.30,375,$6.63,$7.99
5.0 out of 5 stars,,Casted (Casted series Book 1) ,Rs.237.00,19,,$13.99
3.9 out of 5 stars,,Immortals of Meluha ,Rs.72.00,206,$4.94,
3.9 out of 5 stars,,The Epic of Gilgamesh (Classics) ,Rs.327.19,102,,$11.00
4.0 out of 5 stars,HelenScottTaylor,The Feast of Beauty (Irish Fantasy Romance Novella) (Celtic Magic) ,Rs.54.34,22,,
4.8 out of 5 stars,K.R.Thompson,Once Upon a Haunted Moon: The Keeper Saga Book 2 ,Rs.241.00,16,,$14.99
4.8 out of 5 stars,AmyMiles,"Desolate, Book I of the Immortal Rose Trilogy ",Rs.179.00,13,,
4.6 out of 5 stars,,"Bigfoot: The Legendary Stories of The Sasquatch From An Unbiased View (Bigfoot Books, eBooks, Sasquatch Books, Epic of Gilgamesh) ",Rs.175.00,9,,
4.0 out of 5 stars,TimorRofman,"Children's Book: Potato Land (Educational and Fun, Ages 3-7) ",Rs.236.00,10,,
4.7 out of 5 stars,,The Snow Queen (With Original Illustrations) ,Rs.388.00,3,,$9.89
4.1 out of 5 stars,T.D.Thomas,"Hera, Queen of Gods (Goddess Unbound) ",Rs.54.34,84,,
4.4 out of 5 stars,JenniferSnyder,Changed (Marked Duology Book 2) ,Rs.166.00,16,,$10.99
4.5 out of 5 stars,,Blood of Destiny: Book 6 of The Witch Fairy Series ,Rs.219.00,62,,$12.99
4.8 out of 5 stars,NancyStraight,Centaur Legacy (Touched Series) ,Rs.599.00,76,,$14.99
4.2 out of 5 stars,KailinGow,"Blood Burned (PULSE, Book 3) (PULSE Vampire Series) ",Rs.184.00,17,,$9.99
4.6 out of 5 stars,,Escaped: Starwalkers Serials ,Rs.59.00,12,,
4.7 out of 5 stars,SophieMoss,The Selkie Sorceress (Seal Island Trilogy Book 3) ,Rs.222.00,101,,$14.95
4.8 out of 5 stars,NancyStraight,Centaur Redemption (Touched Series) ,Rs.500.00,53,,$14.99
4.3 out of 5 stars,CameronJace,Pentimento: a dystopian Beauty and the Beast ,Rs.60.00,115,,$7.74
4.3 out of 5 stars,RobertE.Keller,Knights: The Heart of Shadows (Knights Series) ,Rs.219.00,42,,
4.7 out of 5 stars,StephanieRowe,Fairytale Not Required (Ever After) ,Rs.306.00,26,,
3.6 out of 5 stars,LaurenBurd,Immortal (Immortal Trilogy) ,Rs.55.94,237,,$11.00
3.9 out of 5 stars,NatashaMoore,Her Royal Masquerade (Her Royal Romance) ,Rs.183.00,17,,$8.99
5.0 out of 5 stars,,The Melaki Chronicle Volume II ,Rs.177.00,2,,$9.95
4.6 out of 5 stars,,Blood of Retribution: Book 9 of The Witch Fairy Series ,Rs.222.00,53,,$12.99
4.9 out of 5 stars,StephanieRowe,Prince Charming Can Wait (Ever After) ,Rs.306.00,14,,$14.99
4.8 out of 5 stars,DeeJ.Stone,"Merman's Kiss (Merman's Kiss, Book 1) ",Rs.187.00,4,,
,MelissaSchroeder,Logan (The Cursed Clan) ,$4.06,,,
4.8 out of 5 stars,RobertE.Keller,Knights: The Blood of Kings (Knights Series) ,Rs.246.21,16,$4.13,
5.0 out of 5 stars,HannaPeach,Angelblood: Dark Angel #4 (Urban Fantasy) ,Rs.177.00,11,,
4.5 out of 5 stars,DevduttPattanaik,Jaya: An Illustrated Retelling of the Mahabharata ,Rs.210.00,59,,$32.95
4.6 out of 5 stars,MarieHall,Gerard's Beauty (Kingdom Series  Book 2) ,Rs.99.00,93,,
4.0 out of 5 stars,GregoryMaguire,Confessions Of An Ugly Stepsister ,Rs.357.20,364,$13.99,$16.00
4.6 out of 5 stars,CandaceKnoebel,From the Embers (The Born in Flames Trilogy) ,Rs.180.00,13,,$14.99
4.6 out of 5 stars,,Blood of Half Gods: Book 5 of The Witch Fairy Series ,Rs.219.00,65,,$11.99
3.9 out of 5 stars,K.C.Hilton,My Name is Rapunzel ,Rs.187.00,53,,
3.3 out of 5 stars,BlakeCrouch,Perfect Little Town ,Rs.164.11,66,,
4.6 out of 5 stars,SueHarrison,"Brother Wind (The Ivory Carver Trilogy, 3) ",Rs.189.00,42,,
4.0 out of 5 stars,L.M.Justus,Welcome to the Darkness (Darkness Trilogy) ,Rs.58.00,27,,$9.99
4.7 out of 5 stars,KamerySolomon,Poseidon (The God Chronicles) ,Rs.183.00,21,$3.09,$11.99
4.7 out of 5 stars,,"The Ivory Carver Trilogy: Mother Earth Father Sky, My Sister the Moon, and Brother Wind ",Rs.475.00,7,,
4.6 out of 5 stars,KenBrosky,"The Grimm Chronicles, Vol. 2 ",Rs.222.00,55,,$19.99
4.6 out of 5 stars,,Blood Lines: Book 3 of The Witch Fairy Series ,Rs.246.00,82,,$12.99
3.7 out of 5 stars,L.M.Justus,Darkness Reigns (Darkness Trilogy Book 2) ,Rs.177.00,3,,$9.99
4.8 out of 5 stars,StaceyRourke,Crane (Legends Saga Book 1) ,Rs.177.00,58,,$11.99
4.4 out of 5 stars,SophieMoss,The Selkie Spell (Seal Island Trilogy Book 1) ,Rs.241.00,250,,$14.95
4.6 out of 5 stars,TaraMaya,The Unfinished Song - Book 6: Blood ,Rs.394.00,50,,
4.8 out of 5 stars,CandaceKnoebel,Embracing the Flames (The Born in Flames Trilogy) ,Rs.240.00,25,,$14.99
4.9 out of 5 stars,AliciaMichaels,Child of the Sacred Earth (The Lost Kingdom of Fallada) ,Rs.244.00,14,,$11.99
4.7 out of 5 stars,JenniferBlackstream,Golden Stair (Book 3) (Blood Prince) ,Rs.216.00,31,,
4.4 out of 5 stars,,Grimm's Fairy Tales (Illustrated) ,Rs.0.00,,$2.92,$9.99
4.1 out of 5 stars,AaronPattersonChrisWhite,Michael: The Curse (The Airel Saga Book 3) ,Rs.219.00,87,,
3.7 out of 5 stars,C.RobertCargill,Queen of the Dark Things: A Novel ,Rs.119.77,18,,$26.99
4.5 out of 5 stars,M.R.Mathias,The Wizard and the Warlord (The Wardstone Trilogy Book Three 3) ,Rs.308.00,146,,$19.88
4.4 out of 5 stars,MelissaSchroeder,Angus: The Cursed Clan ,Rs.240.00,19,,$12.99
4.9 out of 5 stars,,Fangs of Anarchy - Forbidden Alpha (Part 3) Were in the World is Gannon Dodd?: A Werewolf Vampire Shifter Romance ,Rs.59.00,15,,
4.4 out of 5 stars,RachelMorgan,The Faerie Guardian (Creepy Hollow #1) ,Rs.59.00,116,,$11.99
4.7 out of 5 stars,C.Gockel,Monsters : I Bring the Fire Part II (A Loki Story) ,Rs.49.00,64,,
4.4 out of 5 stars,M.R.Mathias,Crimzon and Clover - Collection One (Stories 1-5) ,Rs.185.00,32,,$14.99
4.4 out of 5 stars,JeffGunzel,Lost Empire (The Legend of the Gate Keeper Book 3) ,Rs.180.00,51,,
4.2 out of 5 stars,KareyBrown,Shadows of the Keeper ,Rs.61.00,60,,$15.99
4.6 out of 5 stars,AlexiaPurdy,Ever Fire (A Dark Faerie Tale #2) ,Rs.187.00,101,,$8.99
4.3 out of 5 stars,TristaJaszczak,Little Red (Believe Series Book 1) ,Rs.59.00,35,,
4.8 out of 5 stars,DakotaCassidy,Fangs of Anarchy - Forbidden Alpha (Part 2) Girl Most Lycan: A Werewolf Vampire Shifter Romance ,Rs.58.00,,,
4.4 out of 5 stars,KristenMiddleton,Enchanted Objects: (Witches Of Bayport) ,Rs.241.00,16,,
4.5 out of 5 stars,L.P.Dover,Betrayals of Spring (Forever Fae Series Book 2) ,Rs.187.00,87,,$11.99
4.5 out of 5 stars,M.R.Mathias,"Kings, Queens, Heroes, & Fools (The Wardstone Trilogy Book Two) ",Rs.246.00,176,,$19.88
4.4 out of 5 stars,JillMyles,The Scarecrow King: A Romantic Retelling of the King Thrushbeard Fairy Tale ,Rs.246.21,54,$4.15,
4.2 out of 5 stars,RonVitale,Lost (Cinderella's Secret Diaries Book 1) ,Rs.59.00,50,,$11.95
4.7 out of 5 stars,MarieHall,Huntsman's Prey (Kingdom Series  Book 7) ,Rs.249.00,62,,
4.6 out of 5 stars,AlexiaPurdy,Ever Winter (A Dark Faerie Tale #3) ,Rs.300.00,88,,$8.99
4.8 out of 5 stars,AlexiaPurdy,Ever Wrath (A Dark Faerie Tale #4) ,Rs.300.00,68,,$10.89
4.8 out of 5 stars,RachelMorgan,The Faerie War (Creepy Hollow #3) ,Rs.300.00,78,,$12.99
,AaronPogue,"The Dawn of a Desperate War (The Godlanders War, Book Three) ",$4.99,,,
4.7 out of 5 stars,LisaKumar,Bound by the Mist (Mists of Eria Book 1) ,Rs.243.00,12,,
4.5 out of 5 stars,KevinHearne,Trapped (Iron Druid Chronicles Book 14) ,Rs.318.25,449,$8.29,$7.99
4.7 out of 5 stars,L.P.Dover,Summer of Frost (Forever Fae series Book 3) ,Rs.172.00,76,,$11.99
4.3 out of 5 stars,LillyFang,Snow White and Rose Red: The Curse of the Huntsman (Fairy Tales Retold Book 1) ,Rs.164.00,114,,
4.8 out of 5 stars,MarieHall,Moon's Flower: Book 6 (Kingdom Series ) ,Rs.186.00,55,,$7.50
3.8 out of 5 stars,LisaKumar,Bound to the Elvin King (Mists of Eria Book 2) ,Rs.233.00,5,,
4.7 out of 5 stars,JenniferBlackstream,One Bite (Book 2) (Blood Prince) ,Rs.215.36,30,$3.59,
4.9 out of 5 stars,AliciaMichaels,Rise of the Tide (The Lost Kingdom of Fallada) ,Rs.244.00,10,,$11.99
4.5 out of 5 stars,AnnaAdams,A French Star in New York (The French Girl Book 2) ,Rs.139.00,35,$3.04,
4.2 out of 5 stars,,Le Rouge et le Noir (French Edition) ,Rs.0.00,8,,$12.99
4.4 out of 5 stars,SueHarrison,"My Sister the Moon (The Ivory Carver Trilogy, 2) ",Rs.189.00,46,,
5.0 out of 5 stars,JuliusSt.Clair,Of Heroes and Villains (Book #4 of the Sage Saga) ,Rs.300.00,1,,
4.3 out of 5 stars,AmberJaeger,The Fire King ,Rs.262.00,42,,
4.9 out of 5 stars,C.Gockel,Fates : I Bring the Fire Part IV: The Hunt for Loki is On ,Rs.49.00,34,,
4.2 out of 5 stars,JordanSummers,Moonlight Kin 2: Aidan's Mate ,Rs.209.00,12,,
4.8 out of 5 stars,C.Gockel,Chaos: I Bring the Fire Part III (A Loki Story) ,Rs.49.00,55,,
3.6 out of 5 stars,CerysduLys,Hunted: A Sultry Retelling of Beauty and the Beast (An Adult Fairy Tale Novel) ,Rs.300.00,33,,$14.99
,VioletteParadis,Lust: All the King's Men (Adult Fairy Tale) (Naughty Princess Book 1) ,Rs.0.00,,$2.97,
4.8 out of 5 stars,RachelHigginson,The Fall (The Siren Series) ,Rs.176.00,46,,
3.9 out of 5 stars,GregoryMaguire,Out of Oz: The Final Volume in the Wicked Years ,Rs.338.20,227,$13.99,$15.99
4.1 out of 5 stars,C.J.Pinard,Enchanted Immortals (Book 1) ,Rs.0.00,78,$0.90,$8.65
3.6 out of 5 stars,S.B.Johnson,A Dragon's Bond ,Rs.164.00,39,,$8.59
3.9 out of 5 stars,ThomasBerger,Arthur Rex: A Legendary Novel ,Rs.477.58,22,$14.89,
3.8 out of 5 stars,C.RobertCargill,Dreams and Shadows: A Novel ,Rs.541.50,138,$12.90,$14.99
4.8 out of 5 stars,A.W.Hartoin,A Fairy's Guide to Disaster (Away From Whipplethorn Book 1) ,Rs.0.00,46,$3.10,$9.99
4.3 out of 5 stars,M.R.Mathias,The First Dragoneer (Introductory Novella) (The Dragoneers Saga) ,Rs.55.00,112,,
4.1 out of 5 stars,,Aesop's Fables - Complete Collection (Illustrated and Annotated) (Literary Classics Collection) ,Rs.164.11,19,,
4.3 out of 5 stars,JenniJames,The Frog Prince (Faerie Tale Collection Book 8) ,Rs.185.00,90,,$9.99
